reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app
9a941ecc-5f84-47c5-b8d8-3aed961b0d70,llik,https://play-lh.googleusercontent.com/a-/ALV-UjWoWPAa41Q04JBUoLC9ujd8TnKN-K8tV20yJ6Ny7StvaniPbc_oog,"Ada beberapa game yang ada hadiah gopay coins, tapi pas dapat hadiah nya ada yang malah error dan gabisa klik klaim lagi dan ada yang cuma muncul notif aja tapi gada masuk di riwayat transaksi. Sebagian besar gopay coins yang didapat sebagai hadiah dari game yg dimainkan kaya ga perna masuk di riwayat transaksi sama sekali, yang masuk di situ cuma hadiah dari A+ plus sama cashback aja😅",4,0,2.17.1,2026-09-06 17:04:45,,,2.17.1,gopay
191fcbac-8b33-4c17-9cda-97a10aefa598,mudia putra,https://play-lh.googleusercontent.com/a/ACg8ocLvzA5cAUJx6UVj8Qbn6JPL6zY3u47vY9yHvpYQL-1ycf4Kbw=mo,saya sangat puas dengan Gopay,4,0,2.17.1,2026-09-06 17:04:16,,,2.17.1,gopay
a5b0f87a-0f9d-4718-8065-2c9a519f8cb9,Dean Cvk,https://play-lh.googleusercontent.com/a/ACg8ocIXJC8CAdY12hmvwVkHUEJK-dzNAHvzwpsRGjP-sL-9yxI2zg=mo,josjis,5,0,2.17.1,2026-09-06 17:01:33,,,2.17.1,gopay
0ca315dd-6109-4ad5-b4f8-6269ebdf30e2,Arik Twins,https://play-lh.googleusercontent.com/a/ACg8ocJDpWw3MaO3_nfMF67MGjzZbhjCKFAmqnH4IqPEtc0tGhfuBg=mo,sayang sekali pinjam belom pernah d acc,2,0,2.18.1,2026-09-06 17:00:20,"Hai Kak Arik, mohon maaf atas ketidaknyamanan yang kamu alami terkait GoPay Pinjam. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@findaya.co.id dan cantumkan kode psr-26-249-1011-24496 di subjek email, ya. Terima kasih. ^Mita",2026-09-06 17:11:28,2.18.1,gopay
4185fb3e-0bd3-4834-8cce-35d001833f25,jemmy Toretto,https://play-lh.googleusercontent.com/a/ACg8ocKlYHMZLhv0ZnmKCzWvs2QtUPepkZevEePsHTupAvDT01VCXg=mo,ok,5,0,2.17.1,2026-09-06 16:57:56,,,2.17.1,gopay
4339c003-8234-4039-beee-65af16b975db,Ary Desty,https://play-lh.googleusercontent.com/a-/ALV-UjUWY1P96X0P6ArU7mj9b3ZdNQKMxvzXNlPQWDz4A567I9jkFKwy,mantap,5,0,2.11.0,2026-09-06 16:57:47,,,2.11.0,gopay
4b3e0a49-335b-4007-b3b5-3025e4e0bd80,Maman Sutiaman,https://play-lh.googleusercontent.com/a/ACg8ocKts6c8V1vEofmmJ3iom11Nolxm9-t0xQLJB_JNnNm-JmZceg=mo,Trimaksih banyak untuk Gopay yang selalu memberikan pelayanannya yang terbaik..🙏,5,0,2.17.1,2026-09-06 16:54:00,,,2.17.1,gopay
79e6c35f-eea1-4dad-a6f4-dea3a0fdf1de,Aisyah Aria,https://play-lh.googleusercontent.com/a/ACg8ocL4JwjBU5VMbLS2of8QDUiLDugPNl5NNyL3PSR_dpZqfK-GDQ=mo,sangat mudah untuk di gunakan,5,0,,2026-09-06 16:51:14,,,,gopay
0d9030d6-32d9-4c80-8664-de34db20e287,Rizki Hajri,https://play-lh.googleusercontent.com/a/ACg8ocJLcOWttc_1Ru7Wd_UlZa5T_8vZ544Z3_kqfq9TAJrAlfOhHg=mo,sangat josjis and kriukk,5,0,,2026-09-06 16:50:49,,,,gopay
69d3f7dd-17ce-4174-96ce-4a1c7ae4329e,Ahmad Sapii,https://play-lh.googleusercontent.com/a/ACg8ocJbYI_3teZJEMMcyO1KdJiIbnkSsQV6r4nhoM7uyDLhSGGVkg=mo,ok,5,0,,2026-09-06 16:47:07,,,,gopay
